"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","43.497054703670194","42.63157636617575","0.01513671875","0.024169921875","0.006103515625","1560","0.0020765398452825086","24","0.0020765398452825086","0","0.0020765398452825086","0.0020765398452825086","1:68","1:0.006820253735916909","1:0.007617451806561121","0.01513671875","Yes"
"1","206.68647168048835","232.30803750790153","0.0272216796875","0.03173828125","0.022705078125","1560","0.0003257334841950215","24","0.0003257334841950215","0","0.0003257334841950215","0.0003257334841950215","2:68;0:68","2:0.0029080271333511154;0:0.006820253735916909","2:0.002027788123441482;0:0.007617451806561121","0.0272216796875","Yes"
"2","278.20223627107595","187.15144981532254","0.007568359375","0.00927734375","0.005859375","1560","0.00013416254258131913","24","0.00013416254258131913","0","0.00013416254258131913","0.00013416254258131913","1:68;3:68","1:0.0029080271333511154;3:0.0017912547916698052","1:0.002027788123441482;3:0.0017498644624564519","0.007568359375","Yes"
"3","245.98874061400912","260.3591322917931","0.0460205078125","0.04345703125","0.048583984375","1560","0.00028176356957390684","24","0.00028176356957390684","0","0.00028176356957390684","0.00028176356957390684","16:68;2:68;4:68","16:0.0020756170414928388;2:0.0017912547916698052;4:0.0019756165077149945","16:0.0022033859798671618;2:0.0017498644624564519;4:0.002869675390263643","0.0460205078125","Yes"
"4","236.2669889196619","170.19875248623362","0.0064697265625","0.01025390625","0.002685546875","1560","0.00024753997556149857","24","0.00024753997556149857","0","0.00024753997556149857","0.00024753997556149857","3:68;5:68","3:0.0019756165077149945;5:0.0018600773142226357","3:0.002869675390263643;5:0.0025758680820547886","0.0064697265625","Yes"
"5","215.00727432579333","215.28327973940316","0.0447998046875","0.042724609375","0.046875","1560","0.00019402019215818643","24","0.00019402019215818643","0","0.00019402019215818643","0.00019402019215818643","6:68;4:68","6:0.01649522744918422;4:0.0018600773142226357","6:0.007695536066703562;4:0.0025758680820547886","0.0447998046875","Yes"
"6","203.65912144419042","159.03094663014772","0.0201416015625","0.017578125","0.022705078125","1560","0.0001821501643508248","24","0.0001821501643508248","0","0.0001821501643508248","0.0001821501643508248","5:68;7:68","5:0.01649522744918422;7:0.002567439795584464","5:0.007695536066703562;7:0.0028054948757402776","0.0201416015625","Yes"
"7","115.12380837571328","39.63691561106597","0.03466796875","0.041259765625","0.028076171875","1560","0.000374229144091406","24","0.000374229144091406","0","0.000374229144091406","0.000374229144091406","17:68;6:68;8:68","17:0.002590378435117724;6:0.002567439795584464;8:0.002809479383629826","17:0.0027360846658501525;6:0.0028054948757402776;8:0.003980055116072717","0.03466796875","Yes"
"8","166.75253960228352","43.506228896387164","0.0062255859375","0.00830078125","0.004150390625","1560","0.00036870460722800467","24","0.00036870460722800467","0","0.00036870460722800467","0.00036870460722800467","9:68;7:68","9:0.0037533766018116588;7:0.002809479383629826","9:0.002883499902953668;7:0.003980055116072717","0.0062255859375","Yes"
"9","183.1936434301064","20.83142867567949","0.0106201171875","0.01025390625","0.010986328125","1560","0.00017385641497694567","24","0.00017385641497694567","0","0.00017385641497694567","0.00017385641497694567","8:68;10:68","8:0.0037533766018116588;10:0.004278114101420427","8:0.002883499902953668;10:0.0023775461541138687","0.0106201171875","Yes"
